,Stock,Index,RS Rating,RS Rating 2,RS Rating 3,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High
0,AAPL,11,22.016774098343085,18.661988634376065,15.047751332335057,184.04,182.49,177.41,124.32508850097656,198.1100006103516
1,ACN,55,18.5895694759172,17.24726153153224,14.759436823964867,319.36,312.7,301.73,243.311264038086,344.1499938964844
2,AEL,99,23.951226984002602,29.47132362541597,16.696551052176588,54.22,51.37,47.82,33.09000015258789,55.709999084472656
3,AEO,102,51.21703575419045,50.81641887966023,34.38242349618847,18.47,15.32,14.76,10.027265548706056,20.790000915527344
4,AGO,134,27.270412750731502,26.77129901374367,22.260342901879387,65.31,59.79,57.67,45.56062698364258,73.0999984741211
5,AIG,149,14.76023468123418,15.683306662864084,13.651509756689222,63.24,59.52,57.27,46.32737731933594,67.2300033569336
6,AIR,159,30.78230674847995,28.55498126017461,23.332257764861264,64.42,60.05,58.4,42.04999923706055,71.38999938964844
7,AIT,163,24.031641532494902,23.92101911889302,19.583276116092367,160.69,149.84,145.86,116.1534423828125,173.83999633789062
8,AIZ,165,28.584298588334992,27.081408571211988,21.700568781813832,158.72,141.58,135.62,103.35697174072266,171.42999267578125
9,AKAM,169,31.875403723073685,34.891240133673094,26.654887409930815,110.47,101.43,95.65,70.75,119.94000244140624
10,ALV,217,21.132916599079433,22.466550787857866,14.514555413608878,98.16,93.53,91.97,72.44406127929688,105.66999816894533
11,AMZN,275,38.52518943093797,37.657440289481954,29.012015710429917,139.42,133.26,125.35,81.81999969482422,154.07000732421875
12,ANDE,281,27.244913847533816,28.745870959414045,21.33462014395929,51.22,48.74,46.71,33.06637954711914,54.95000076293945
13,AOS,299,23.54869641020808,18.393146167361223,16.008213616414476,73.14,70.79,69.79,55.21327209472656,80.58999633789062
14,APO,318,28.292850262999025,32.07489549547909,24.356227582157686,87.29,82.0,76.79,55.57169342041016,94.4800033569336
15,ARCB,345,31.026082594260618,30.729383399144876,17.33405764091897,110.5,102.84,100.03,68.49138641357422,124.7300033569336
16,ARCH,348,18.75725126716344,26.14615977239245,18.45463957675817,155.4,134.91,132.24,99.59512329101562,172.9097442626953
17,ARCO,349,37.32982636485584,34.95247895140416,32.91061337298301,10.58,10.08,9.5,7.046402454376221,12.600000381469728
18,AROC,369,52.904063316519725,52.64946085017803,39.73985839625861,13.75,11.99,11.39,7.913028717041016,15.460000038146973
19,ATGE,414,54.22964443517412,50.903380948922106,39.062427022789706,53.35,45.49,43.87,33.68000030517578,61.5099983215332
20,AZZ,514,28.152551206158638,29.124670964629882,24.00364982154474,48.43,44.94,43.31,34.64723205566406,53.880001068115234
21,BAH,520,20.43033778578875,18.405243440287702,15.754553618908021,124.97,115.12,109.49,87.4513931274414,131.22000122070312
22,BBSI,550,28.735578706748854,24.466337099776414,23.518638626823176,102.01,93.97,91.78,77.73377227783203,114.94000244140624
23,BCC,558,59.157743435124885,59.986320310476856,45.97796891639221,101.4,93.88,85.39,54.92493438720703,119.23999786376952
24,BCO,566,30.678626103621138,28.92634225009946,24.907443293122988,75.39,72.38,70.21,52.48653411865234,88.02999877929688
25,BCSF,573,19.986738095979156,25.39818206828433,16.363317031966083,15.21,14.38,13.58,10.542838096618652,16.264400482177734
26,BLKB,685,31.73389630968667,28.964833877377824,25.400829813827492,74.45,73.4,71.21,53.41999816894531,86.91999816894531
27,BLX,694,29.164634822383675,28.549629493415217,21.871160335954382,23.47,22.31,21.02,14.890361785888672,25.450000762939453
28,BMA,695,42.95039113939997,36.54393349475332,40.17466967365328,22.21,22.03,20.71,13.073016166687012,28.71999931335449
29,BPOP,732,34.75159147305754,30.165305038183867,26.208575188998495,69.45,65.2,62.79,49.55135726928711,81.1500015258789
30,BR,739,26.824229497019033,28.843589313795174,21.26912237973471,181.78,173.09,165.36,130.60598754882812,196.7100067138672
31,BRBR,740,65.2232194265078,60.96790564108707,48.98528936516116,47.71,41.12,39.28,25.06999969482422,56.68999862670898
32,BVH,796,148.96378753716976,128.45369929849022,112.76844516766249,57.74,42.35,38.6,23.618396759033203,75.45999908447266
33,BWXT,807,16.5404696573638,17.723213173727007,13.019366293992828,77.15,72.41,70.0,54.86909103393555,81.44999694824219
34,CAH,837,22.600714228119454,19.310182384114956,16.17984336486642,100.05,92.51,88.49,67.79654693603516,108.0500030517578
35,CAL,841,26.18434673066202,24.632476338576076,20.385566485144107,27.83,26.06,25.15,17.16353416442871,31.700000762939453
36,CAMT,848,88.89019500782948,102.44464216260496,65.51944944409686,59.74,49.28,43.63,21.15999984741211,65.86000061035156
37,CBAY,875,147.7937031947132,159.71607248544822,104.06705984131301,17.3,13.69,12.64,4.619999885559082,22.6299991607666
38,CBOE,886,25.76956828817114,26.28638597937798,19.635421095693726,171.84,153.34,148.24,118.6500015258789,182.19000244140625
39,CCAP,897,23.12409282803806,26.926045007880283,16.275059858879338,16.42,15.59,14.94,11.444809913635254,17.260000228881836
40,CCJ,907,54.5245235682668,57.1270917135832,42.42537879523901,42.01,36.38,33.79,21.727643966674805,46.34000015258789
41,CDNS,933,31.561560526753855,28.839524580713295,22.580182464660652,257.24,240.05,231.72,156.8000030517578,276.57000732421875
42,CE,942,35.1603913074791,35.909476562672914,28.384316452566082,127.22,121.06,116.89,97.73592376708984,152.0
43,CIB,1028,16.258349040552286,15.998712126934691,13.07941041852238,26.88,26.33,25.61,20.23569869995117,29.548139572143555
44,CMG,1102,31.540000241813587,25.842766610054134,23.15682807197494,2067.56,2010.28,1950.77,1364.1600341796875,2340.0
45,CNXN,1143,39.73172521730909,38.78280459817477,34.08790896298908,58.63,52.2,49.72,38.40594100952149,67.44999694824219
46,COOP,1166,40.891807272373356,38.96804751669802,29.741167729449725,58.56,54.6,51.6,38.470001220703125,67.19999694824219
47,COST,1172,32.96101740940904,30.861312439892114,27.73257914617352,582.92,553.48,537.76,446.8065185546875,681.239990234375
48,CPRT,1192,26.074818138475827,23.693608570090014,17.588554834852236,47.35,45.26,43.33,29.979999542236328,51.20000076293945
49,CRH,1211,37.33374258930935,33.093778188549315,28.668709290901646,58.67,55.33,53.54,37.73788070678711,67.23999786376953
50,CRM,1217,43.62210498047016,39.28152450727541,32.42760244086137,222.47,216.78,210.68,128.4499969482422,263.5899963378906
51,CRNX,1222,59.99321018813697,67.27855611998586,50.86124983691048,30.24,24.09,22.59,15.3100004196167,34.88999938964844
52,CRVL,1234,29.00377530446668,25.58098413852604,20.43082921865647,208.52,205.47,202.9,138.89999389648438,236.3500061035156
53,CSWC,1260,27.861589950878447,31.10653292544375,22.45557044836997,21.58,20.32,19.3,15.076498031616213,23.3799991607666
54,CTSH,1281,21.865595290306103,22.234427399363977,17.057371704379047,68.04,67.08,65.15,54.09344100952149,76.16999816894531
55,CVLT,1310,22.677155829232927,18.760912991112388,19.468522165927745,70.46,70.41,67.38,54.34000015258789,79.33999633789062
56,CWCO,1322,71.28599295960437,73.51741191011443,58.59440181536624,32.84,26.81,24.14,13.699909210205078,37.77000045776367
57,CXW,1335,40.77048127183977,36.155515986668014,32.79657469646698,13.21,10.94,10.49,8.329999923706055,14.829999923706056
58,CYBR,1339,38.4640180045157,36.589383459838366,34.37467122601869,182.77,166.19,159.03,116.87000274658205,210.17999267578125
59,DAC,1352,21.02369929336212,18.650238058626385,14.965811044824513,66.82,65.37,62.55,50.094146728515625,71.4800033569336
60,DBX,1367,23.709333149326802,22.076145987033122,20.17078924874454,27.48,26.69,25.24,18.96999931335449,29.940000534057617
61,DDOG,1379,51.06936132067311,44.318137524496464,40.809953320805754,101.16,98.58,91.49,62.68999862670898,123.2699966430664
62,DECK,1383,49.95308155164511,43.67892794327245,39.61349039913962,607.18,549.06,526.28,363.0499877929688,719.27001953125
63,DELL,1386,49.760426121619986,56.633114295652064,39.281587093132174,70.2,60.68,55.65,35.80354309082031,75.87000274658203
64,DFIN,1394,38.95632758408428,39.306885324425174,27.308352079582534,56.3,50.61,48.3,36.470001220703125,61.220001220703125
65,DK,1427,6.345571500241736,12.373009375146868,8.54801816968427,26.38,25.68,24.74,19.06695556640625,30.41411781311035
66,DKNG,1429,77.13394167242274,78.54714548421548,47.10215867965377,33.62,29.86,27.41,10.90999984741211,39.0
67,DLR,1437,23.178302714311265,27.316210957010114,18.45896643551109,128.35,118.6,112.49,83.91560363769531,137.54116821289062
68,DLX,1440,13.92543309504522,18.491147736749774,11.99928128123269,18.1,17.95,17.14,13.123408317565918,20.91283226013184
69,DPZ,1471,16.488234882283294,19.569633473584844,15.399602078800237,369.57,361.6,350.11,286.942626953125,403.0400085449219
70,DT,1495,28.029694634619382,21.865954316571717,20.056726258514544,50.16,49.7,47.69,36.02000045776367,55.52999877929688
71,EC,1543,27.943718859252883,31.224633517073286,23.439839689821955,12.26,10.95,10.5,8.0940580368042,12.949999809265137
72,EME,1615,20.834991207170898,24.865316850209187,17.625420198834075,209.32,201.33,191.29,142.39999389648438,226.0
