,Stock,Index,RS Rating,RS Rating 2,RS Rating 3,RS Rank,RS Rank 3
108,IMGN,2539,281.32665995299624,251.48947527306584,228.62070359310763,1.0,1.0
155,ORTX,3757,208.15974695007563,200.14123145137404,141.74180929084247,0.99571,0.99571
32,BVH,796,148.96378753716976,128.45369929849022,112.76844516766249,0.99142,0.99142
37,CBAY,875,147.7937031947132,159.71607248544822,104.06705984131301,0.98712,0.98712
94,GPS,2184,112.13016256988254,92.49867290169723,84.36216656715297,0.97854,0.98283
137,MSTR,3297,127.79267979208252,113.7163627883082,76.88989254739653,0.98283,0.97854
229,X,5410,83.73449746839833,83.00547166830086,73.62787331012962,0.95708,0.97425
75,ESTC,1700,81.34635870497782,77.29785132140249,67.9628240319252,0.95279,0.96996
175,RCMT,4186,87.29283333956856,81.61557110204849,66.6768068025927,0.96567,0.96567
36,CAMT,848,88.89019500782948,102.44464216260496,65.51944944409686,0.96996,0.96137
159,PDD,3858,77.53680967098016,75.34803770050114,64.64060003632518,0.94421,0.95708
191,SKYW,4521,95.58640559484098,92.48788390956511,62.43640363224144,0.97425,0.95279
56,CWCO,1322,71.28599295960437,73.51741191011443,58.59440181536624,0.93133,0.9485
230,XPO,5440,84.43191512218533,87.77907248990677,57.68044858107558,0.96137,0.94421
216,VRNS,5246,66.42348983482366,64.48564126408426,54.91679375330298,0.91845,0.93991
197,STNE,4702,64.47006198284173,43.96700326662991,54.34619270622867,0.90987,0.93562
210,UBER,5051,69.76341372253306,65.65983391410546,53.044280947047454,0.92275,0.93133
148,NVDA,3603,80.27306105958601,76.1178167963657,51.2532997667431,0.9485,0.92704
51,CRNX,1222,59.99321018813697,67.27855611998586,50.86124983691048,0.897,0.92275
147,NTNX,3580,62.155173872696665,59.54730020277255,50.39676708669975,0.90129,0.91845
102,HCI,2285,70.63614826326435,52.65397342104002,50.04512272288033,0.92704,0.91416
31,BRBR,740,65.2232194265078,60.96790564108707,48.98528936516116,0.91416,0.90987
66,DKNG,1429,77.13394167242274,78.54714548421548,47.10215867965377,0.93991,0.90558
174,RCL,4184,63.8937498779918,58.42485494607253,46.536768268088856,0.90558,0.90129
140,NHC,3465,51.39509287104938,46.95910006487933,46.532688047628326,0.84549,0.897
132,MMYT,3216,56.32176852157342,60.47119173973641,46.03709066067019,0.88412,0.8927
86,FTAI,1976,71.87280564563767,70.39826883529491,45.99405297578217,0.93562,0.88841
23,BCC,558,59.157743435124885,59.986320310476856,45.97796891639221,0.8927,0.88412
169,QLYS,4134,54.94639007351603,54.03266663224682,45.335288080819616,0.87983,0.87983
168,PTVE,4094,51.218664305656205,43.186806096708764,43.10848917323105,0.83691,0.87554
40,CCJ,907,54.5245235682668,57.1270917135832,42.42537879523901,0.87124,0.87124
82,FICO,1855,50.731900703339335,48.95844796030932,41.58929759481463,0.81974,0.86695
61,DDOG,1379,51.06936132067311,44.318137524496464,40.809953320805754,0.82403,0.86266
28,BMA,695,42.95039113939997,36.54393349475332,40.17466967365328,0.74249,0.85837
145,NRP,3553,46.219284981533,55.70573360613284,40.14215175720711,0.7897,0.85408
118,KTOS,2843,53.546003825051685,45.104377274509616,40.097697472780155,0.86266,0.84979
187,SCS,4416,52.13975577032416,59.08597042323915,40.082685999374654,0.84979,0.84549
18,AROC,369,52.904063316519725,52.64946085017803,39.73985839625861,0.85408,0.8412
62,DECK,1383,49.95308155164511,43.67892794327245,39.61349039913962,0.81116,0.83691
122,LRN,2996,54.61302285841394,52.33534611826016,39.47255279092555,0.87554,0.83262
79,EXPE,1762,51.394777548446555,42.727027108097204,39.29765634938272,0.8412,0.82833
63,DELL,1386,49.760426121619986,56.633114295652064,39.281587093132174,0.80687,0.82403
19,ATGE,414,54.22964443517412,50.903380948922106,39.062427022789706,0.86695,0.81974
101,HCC,2278,48.851437289045826,48.192054225543124,37.36449091577102,0.80258,0.81545
212,UPWK,5104,43.516275476582805,48.30920211215263,37.33448510772392,0.75536,0.81116
121,LII,2923,46.512481777444194,47.55018613487212,37.023138221521855,0.79399,0.80687
220,VVI,5275,44.73750687065668,42.550516332861214,36.658881544139334,0.78112,0.80258
107,IDCC,2488,50.405446941796406,40.812826518704036,36.518672399249525,0.81545,0.79828
88,GDDY,2040,44.59324104267991,36.74539061122027,36.5141419614272,0.77682,0.79399
224,WING,5331,46.135195733023494,35.0657851936663,36.493448691747076,0.78541,0.7897
194,SPOT,4625,53.15702188155386,49.88799215228669,35.89036500380951,0.85837,0.78541
3,AEO,102,51.21703575419045,50.81641887966023,34.38242349618847,0.83262,0.78112
58,CYBR,1339,38.4640180045157,36.589383459838366,34.37467122601869,0.66524,0.77682
219,VST,5260,38.78612509592101,42.110187096927035,34.342053426546904,0.67382,0.77253
193,SPLK,4620,48.65999721666548,46.94297304848732,34.099887744470166,0.79828,0.76824
45,CNXN,1143,39.73172521730909,38.78280459817477,34.08790896298908,0.69528,0.76395
149,NWLI,3626,44.25504150105473,47.233456066927175,33.62331722890482,0.77253,0.75966
142,NOW,3534,44.09797052055427,40.501292243942146,33.441501804373566,0.76824,0.75536
125,MATX,3059,42.37496750070319,42.74982065448161,33.40935372034512,0.7382,0.75107
93,GPOR,2179,41.48606132500952,38.80065864528763,32.9350923484344,0.73391,0.74678
17,ARCO,349,37.32982636485584,34.95247895140416,32.91061337298301,0.64807,0.74249
179,ROAD,4294,36.66968099957684,33.68977831153001,32.82673614880077,0.62232,0.7382
57,CXW,1335,40.77048127183977,36.155515986668014,32.79657469646698,0.72103,0.73391
156,PAM,3804,39.950913580500924,32.99842013111687,32.73155465884792,0.69957,0.72961
50,CRM,1217,43.62210498047016,39.28152450727541,32.42760244086137,0.76395,0.72532
182,RYAAY,4347,40.06686621893104,32.90914446065199,32.232006460041276,0.70386,0.72103
138,NEU,3438,43.54321293419173,43.103680566707425,32.041454302137105,0.75966,0.71674
109,INSM,2581,37.150073923712455,39.90261202224914,31.75195752860039,0.64378,0.71245
104,HNI,2354,39.60714916896782,40.794914686041096,31.017603910474133,0.69099,0.70815
143,NRG,3547,40.43698960534624,38.83696253657929,30.996409404434555,0.71245,0.70386
203,TIMB,4886,34.87784416951257,31.537047802713452,30.788640583676052,0.57511,0.69957
77,ETRN,1714,30.206568043859406,28.882067127699365,30.736683728255343,0.43348,0.69528
192,SNPS,4585,41.04789571062912,37.91324399442195,30.647641270855363,0.72961,0.69099
74,ERJ,1678,36.94341953651963,30.66198710353918,30.536781429666565,0.63519,0.6867
135,MRTX,3277,57.68447219843033,37.12232047164948,30.52576999907218,0.88841,0.6824
176,RDNT,4196,43.24075742735251,34.28692518178721,30.26872246422803,0.74678,0.67811
110,INTU,2588,36.8577260090011,37.06580872408483,30.180972958169043,0.62661,0.67382
46,COOP,1166,40.891807272373356,38.96804751669802,29.741167729449725,0.72532,0.66953
154,OLED,3697,38.02514427865495,37.6860174242087,29.709634608279,0.66094,0.66524
221,WDAY,5302,32.766967745176586,31.702707790303013,29.55753317274723,0.52361,0.66094
128,MELI,3123,40.71526424011158,38.62183563475379,29.448905669321114,0.71674,0.65665
186,SBS,4397,31.15742118121731,28.676962183309158,29.427437918833665,0.4721,0.65236
211,UBS,5055,32.98432343710858,37.497297385661895,29.289817941800216,0.53648,0.64807
173,RAMP,4162,35.03233892642784,33.988449765780715,29.21586395429531,0.5794,0.64378
189,SKT,4518,36.08257575471157,33.49451337233561,29.11489101798471,0.60944,0.63948
11,AMZN,275,38.52518943093797,37.657440289481954,29.012015710429917,0.66953,0.63519
127,MEDP,3118,36.230967188741694,36.2461365644292,28.93144628441522,0.61373,0.6309
163,PRLB,4034,36.942537862166496,20.502069620207415,28.760664576905953,0.6309,0.62661
117,KOP,2812,36.01308598119262,36.57029203237756,28.740436479832415,0.60515,0.62232
161,PJT,3946,30.76999758382656,28.31707589155723,28.69642505239479,0.45064,0.61803
49,CRH,1211,37.33374258930935,33.093778188549315,28.668709290901646,0.65236,0.61373
178,REX,4224,31.78028753027681,33.11873238466291,28.45426068578945,0.50644,0.60944
80,FCNCA,1810,51.130898631854635,52.43964004564158,28.415105186796648,0.82833,0.60515
42,CE,942,35.1603913074791,35.909476562672914,28.384316452566082,0.58369,0.60086
164,PRO,4038,37.91379261514194,37.797938384168745,28.217336847515405,0.65665,0.59657
188,SFM,4452,35.216921761736664,36.96535452941273,28.10687954479743,0.58798,0.59227
73,ERIE,1676,30.96811294569649,36.87923610887775,28.08685011907972,0.46352,0.58798
113,IT,2640,31.671207582698074,26.980928280517084,27.895648002261318,0.49785,0.58369
180,RPD,4309,43.456614219406084,40.962812525736574,27.775303514466664,0.75107,0.5794
47,COST,1172,32.96101740940904,30.861312439892114,27.73257914617352,0.53219,0.57511
201,TGH,4857,39.56193192213983,32.40848155007259,27.67547976277439,0.6867,0.57082
225,WRK,5372,33.108908238375214,35.30705134135454,27.653666630555406,0.54077,0.56652
64,DFIN,1394,38.95632758408428,39.306885324425174,27.308352079582534,0.67811,0.56223
153,OFG,3680,34.602799504657064,31.345650302727318,27.237444144686222,0.56223,0.55794
84,FMX,1901,35.44735432380354,31.465713631547846,27.112971043274715,0.59227,0.55365
115,KAI,2745,34.10179433515895,29.440668043123694,26.8928331388018,0.55365,0.54936
139,NFLX,3453,40.150382044325966,32.720249982064615,26.773999685787093,0.70815,0.54506
231,YELP,5453,36.513414546115,38.70705560073652,26.660336605130258,0.61803,0.54077
9,AKAM,169,31.875403723073685,34.891240133673094,26.654887409930815,0.51502,0.53648
99,GWRE,2246,36.965899738105634,41.58299944503831,26.626838328992225,0.63948,0.53219
205,TNET,4918,34.47488877227288,37.95035772480839,26.333954837140606,0.55794,0.5279
97,GSHD,2214,34.714196200307526,41.580457573293366,26.31007109258791,0.56652,0.52361
